Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,4,13,15,"SmartMeter",51974.88905578656
2021,1,4,13,30,"SmartMeter",53818.221396863424
2021,1,4,13,45,"SmartMeter",46014.128469307827
2021,1,4,14,0,"SmartMeter",49272.6400419057
2021,1,4,14,15,"SmartMeter",57364.192335773208
2021,1,4,14,30,"SmartMeter",59347.72664000345
2021,1,4,14,45,"SmartMeter",49570.520635815483
2021,1,4,15,0,"SmartMeter",45185.021807359313
2021,1,4,15,15,"SmartMeter",45237.81087966117
2021,1,4,15,30,"SmartMeter",52770.283724544424
2021,1,4,15,45,"SmartMeter",51505.568233264821
2021,1,4,16,0,"SmartMeter",55225.0029677918
2021,1,4,16,15,"SmartMeter",49085.207696123318
2021,1,4,16,30,"SmartMeter",46638.637392115168
2021,1,4,16,45,"SmartMeter",54318.275466769366
2021,1,4,17,0,"SmartMeter",59035.699962431187
2021,1,4,17,15,"SmartMeter",56046.385731996059
2021,1,4,17,30,"SmartMeter",49468.980195363052
2021,1,4,17,45,"SmartMeter",55095.04591590639
2021,1,4,18,0,"SmartMeter",65596.847130503375
2021,1,4,18,15,"SmartMeter",68228.414334497735
2021,1,4,18,30,"SmartMeter",65259.517914456992
2021,1,4,18,45,"SmartMeter",61416.698283328427
2021,1,4,19,0,"SmartMeter",65243.774629421147
2021,1,4,19,15,"SmartMeter",63861.273619436128
2021,1,4,19,30,"SmartMeter",55692.013397937917
2021,1,4,19,45,"SmartMeter",52920.232355641761
2021,1,4,20,0,"SmartMeter",58002.062943788878
2021,1,4,20,15,"SmartMeter",54681.576334776342
2021,1,4,20,30,"SmartMeter",49479.70380650412
2021,1,4,20,45,"SmartMeter",42395.806758644896
2021,1,4,21,0,"SmartMeter",49651.784202864132
2021,1,4,21,15,"SmartMeter",43657.991142291277
2021,1,4,21,30,"SmartMeter",46011.883898161585
2021,1,4,21,45,"SmartMeter",53208.990016492047
2021,1,4,22,0,"SmartMeter",51893.034567488627
2021,1,4,22,15,"SmartMeter",49834.862598433305
2021,1,4,22,30,"SmartMeter",45200.420316627809
2021,1,4,22,45,"SmartMeter",44117.248790836806
2021,1,4,23,0,"SmartMeter",37081.903872468531
2021,1,4,23,15,"SmartMeter",41302.186799061914
2021,1,4,23,30,"SmartMeter",40523.007542209845
2021,1,4,23,45,"SmartMeter",37240.688368356779
2021,1,5,0,0,"SmartMeter",39345.870002545867
2021,1,5,0,15,"SmartMeter",40309.753300788761
2021,1,5,0,30,"SmartMeter",38862.574713373717
2021,1,5,0,45,"SmartMeter",41162.753585112216
2021,1,5,1,0,"SmartMeter",46819.104761160896
2021,1,5,1,15,"SmartMeter",43692.479786774384
2021,1,5,1,30,"SmartMeter",35298.646466214945
2021,1,5,1,45,"SmartMeter",26844.716563810587
2021,1,5,2,0,"SmartMeter",21645.105625855624
2021,1,5,2,15,"SmartMeter",26466.402836888632
2021,1,5,2,30,"SmartMeter",30113.610795043511
2021,1,5,2,45,"SmartMeter",30792.189766001087
2021,1,5,3,0,"SmartMeter",28214.331178216544
2021,1,5,3,15,"SmartMeter",30918.011845525314
2021,1,5,3,30,"SmartMeter",27183.774491772048
2021,1,5,3,45,"SmartMeter",27220.184010613051
2021,1,5,4,0,"SmartMeter",29361.805237678196
2021,1,5,4,15,"SmartMeter",28315.212280701751
2021,1,5,4,30,"SmartMeter",29762.612899636326
2021,1,5,4,45,"SmartMeter",31584.812223741174
2021,1,5,5,0,"SmartMeter",30884.625593679659
2021,1,5,5,15,"SmartMeter",31986.774306325355
2021,1,5,5,30,"SmartMeter",28980.024045524726
2021,1,5,5,45,"SmartMeter",33157.182196354224
2021,1,5,6,0,"SmartMeter",36161.90334861217
2021,1,5,6,15,"SmartMeter",38467.717886270242
2021,1,5,6,30,"SmartMeter",36827.800418705505
2021,1,5,6,45,"SmartMeter",40803.319598517417
2021,1,5,7,0,"SmartMeter",38144.516880396368
2021,1,5,7,15,"SmartMeter",42661.8216655015
2021,1,5,7,30,"SmartMeter",38043.282025892891
2021,1,5,7,45,"SmartMeter",37218.992379368166
2021,1,5,8,0,"SmartMeter",37415.103667448406
